username,review,rating,date,cleaned_review
herve etoung,"Copier ce que vos concurrents on eu a faire: empreinte digitale, id du correspondant , prise en main simple",1,2022-08-21 01:07:13,copier ce que vos concurrents on eu a faire empreinte digitale id du correspondant prise en main simple
Cedric Tom,"Je compléterai les 4 autres uniquement que lorsque l'application sera de nouveau utilisable, c'est du n'importe quoi cette application depuis la mise à jour ont me rédige vers une page inaccessible.",1,2022-08-20 02:33:29,je complterai les autres uniquement que lorsque lapplication sera de nouveau utilisable cest du nimporte quoi cette application depuis la mise jour ont me rdige vers une page inaccessible
Anne Emilie Karidja,C'est pas une bonne application vraiment que mtn trouve une solution à se problème,1,2022-08-18 19:34:55,cest pas une bonne application vraiment que mtn trouve une solution se problme
Raoul le grand,Une arnaque. Tu l'installes et on te demande en même temps une mise à jour qui ne passe jamais. Attention ❌❌❌❌❌❌❌❌,1,2022-08-17 21:26:37,une arnaque tu linstalles et on te demande en mme temps une mise jour qui ne passe jamais attention
Raymond Dj,C'est nul car la nouvelle version ne marche pas😶,1,2022-08-16 16:01:11,cest nul car la nouvelle version ne marche pas
l'homme gams,0 étoile si possible mais sait le problème une mise en jour et rien ne passe dans l'app encore trop nul,1,2022-08-14 13:28:07,toile si possible mais sait le problme une mise en jour et rien ne passe dans lapp encore trop nul
Doudou Jean Yves Rodrigue,C'est quelle application a chaque fois ont dois ce faire authentifier. Même les applications de banque c'est pas comme ça.,1,2022-08-13 11:25:29,cest quelle application a chaque fois ont dois ce faire authentifier mme les applications de banque cest pas comme a
Karamô Cissé,Cet application est formidable,5,2022-08-12 18:08:41,cet application est formidable
Miguel nane,trop cool . 5 étoiles,5,2022-08-11 19:25:59,trop cool toiles
Esdras Dago,L'accès est impossible après la demande de mise à jour,1,2022-08-11 04:15:25,laccs est impossible aprs la demande de mise jour
Paulin Tchuisseu,Trop cool mais on ne peut pas se connecter à un autre compte,5,2022-08-07 10:38:51,trop cool mais on ne peut pas se connecter un autre compte
Faustin Guida,Je suis content et je me suis intéressé à me inscrit,5,2022-08-06 15:11:13,je suis content et je me suis intress me inscrit
MASSESSE STRIKER,Comment pouvez-vous avoir une même application en plusieurs tailles et plusieurs versions ? Soyez sérieux décidez-vous choisissez une (qui fonctionne bien) et supprimer les autres,1,2022-08-04 10:55:27,comment pouvezvous avoir une mme application en plusieurs tailles et plusieurs versions soyez srieux dcidezvous choisissez une qui fonctionne bien et supprimer les autres
Alex,"Ça demande une mise à jour, tu cliques dessus... Rien ! Nul tout simplement Trichez ORANGE et MOI",1,2022-08-04 08:32:34,a demande une mise jour tu cliques dessus rien nul tout simplement trichez orange et moi
Aliou Diallo,Mais ça ne fonctionne plus 😭,5,2022-07-22 20:11:31,mais a ne fonctionne plus
Blondine Layb,C'est la magie,5,2022-07-18 15:59:09,cest la magie
Dorel Ibara,J'aime l'application,2,2022-07-17 14:29:19,jaime lapplication
Djimmy Beyene,Moi personnellement c'est le njoh que je yamo alors prenez pour vous,4,2022-07-12 23:31:19,moi personnellement cest le njoh que je yamo alors prenez pour vous
Toutoukpo Thomas Rodrigue Loba,Depuis mtn m'envoie des messages d'installer MyMtn et que le lendemain j'aurai des 5giga mais zéro à la base. Vraiment je suis déçu 😥. Nul comme application. Copié sur votre voisin Orange,1,2022-07-12 00:15:57,depuis mtn menvoie des messages dinstaller mymtn et que le lendemain jaurai des giga mais zro la base vraiment je suis du nul comme application copi sur votre voisin orange
Hamidou aboina,Tres bon application,5,2022-07-06 17:00:55,tres bon application
patrik jonshone,"Cette application,je comprends plus après la mise ajout j'ai plus l'accès pour rentré dans l'application pourquoi MTN vraiment veuillez ramener ça comme il était et sa serait mieux",1,2022-07-05 17:51:35,cette applicationje comprends plus aprs la mise ajout jai plus laccs pour rentr dans lapplication pourquoi mtn vraiment veuillez ramener a comme il tait et sa serait mieux
Wylfreid Mambeau,Honte aux développeurs de cette application,1,2022-06-22 03:49:52,honte aux dveloppeurs de cette application
Bilkissou Houmma,Merci MTN Cameroun,5,2022-06-16 18:30:00,merci mtn cameroun
Aristide Wahile,L applique et très top,5,2022-06-14 22:15:23,l applique et trs top
Clement Ajuwamungu,"Oui, c'est l'une des importantes applications car elle facilite certaines activités, elle est comme un racourcis.",2,2022-05-31 20:15:23,oui cest lune des importantes applications car elle facilite certaines activits elle est comme un racourcis
BAbba Siddi,Bonjour je suis en ligne sur notre site Internet,5,2022-05-27 08:18:32,bonjour je suis en ligne sur notre site internet
John Calvin,"Zero (0) étoile... ne surtout pas installer cette version, c'est un piège. Beaucoup de transactions ne fonctionnent plus. Du coup, vous devrez changer de téléphone pour activer plusieurs codes et pires... personnes ne pourra rien pour vous",1,2022-05-25 20:34:19,zero toile ne surtout pas installer cette version cest un pige beaucoup de transactions ne fonctionnent plus du coup vous devrez changer de tlphone pour activer plusieurs codes et pires personnes ne pourra rien pour vous
Ayodele Ruth TCHABY,"C'est plutôt pas mal, ça facilite la tâche Mais j'ai un souci. Est-ce nécessairement un seul numéro qui sera connecté à l'application. J'ai deux numéros et je veux faire des transactions sur les deux. Voilà que l'application est unique",4,2022-05-25 18:37:31,cest plutt pas mal a facilite la tche mais jai un souci estce ncessairement un seul numro qui sera connect lapplication jai deux numros et je veux faire des transactions sur les deux voil que lapplication est unique
Emmanuel fils Ranava,C'est bien mais ça doit être un nouveau message,1,2022-05-16 18:53:58,cest bien mais a doit tre un nouveau message
Aime Tchouamo,Pourquoi n'est-il plus possible d'acheter les forfaits à partir de cette application? Notamment les forfaits mtn wanda.,1,2022-05-13 12:20:33,pourquoi nestil plus possible dacheter les forfaits partir de cette application notamment les forfaits mtn wanda
Ignace Blaise Zebaze,"Super,merci pour l'application.",5,2022-05-07 08:41:11,supermerci pour lapplication
Nathan Abah,"Mega octec mal represente , utilisation difficile",2,2022-05-05 20:57:18,mega octec mal represente utilisation difficile
Catherina Mbou,J'aime l'application vraiment,5,2022-05-04 08:57:16,jaime lapplication vraiment
Emile Aïbaba,Je veux le numero surquel j'ai transfere d'argent aujourdhui,1,2022-04-27 22:31:47,je veux le numero surquel jai transfere dargent aujourdhui
abdourahamane nabe,La connexion est trop lente,3,2022-04-27 18:29:37,la connexion est trop lente
Hasana Youssoufa,Merci de itilize,5,2022-04-26 09:40:22,merci de itilize
Bb Dior,Le manque de méga empeche le fonctionnement,4,2022-04-24 08:46:29,le manque de mga empeche le fonctionnement
Ripmeur Pepe,Trop top cette application,5,2022-04-09 22:25:51,trop top cette application
Youri DONKPEGAN,Application déjà désinstallé. Ce n'est pas la peine même,1,2022-04-07 20:35:36,application dj dsinstall ce nest pas la peine mme
GALDEX TEYON,Les services MTN offerts sont trop super,5,2022-04-06 15:05:46,les services mtn offerts sont trop super
Vertos Jefelly,"Bonsoir à l'équipe technique MTN , j'ai une suggestion. Pourquoi ne pas réunir "" My MTN ""et "" MTN MoMo "" en une seule application ? , C'est plus pratique et ça prendrait moin de place dans le téléphone , non ?",4,2022-04-05 18:56:06,bonsoir lquipe technique mtn jai une suggestion pourquoi ne pas runir my mtn et mtn momo en une seule application cest plus pratique et a prendrait moin de place dans le tlphone non
Majães Abana,J'ai réinstallé ça juste pour mettre une étoile et redesinstaller. S'il y avait possibilité de mettre des étoiles négatives j'aurai mis -400 étoiles.,1,2022-03-31 18:01:50,jai rinstall a juste pour mettre une toile et redesinstaller sil y avait possibilit de mettre des toiles ngatives jaurai mis toiles
Ali Touré,cette application est bon,4,2022-03-28 08:07:48,cette application est bon
Yvel,Je suis kiss. yvel je m'en posé sur là yoba,5,2022-03-26 22:39:40,je suis kiss yvel je men pos sur l yoba
Ibrahim Mogazou Maiga,Pour moi mon compte my mtn n'est pas prendre,1,2022-03-24 20:41:17,pour moi mon compte my mtn nest pas prendre
TCHOUE BING'NY,La réaction de MTN est immédiate face à nos réclamations. Je suis satisfait,5,2022-03-23 23:53:18,la raction de mtn est immdiate face nos rclamations je suis satisfait
Soh Steve,Très belle application,5,2022-03-23 18:32:18,trs belle application
Adrian Elkapo,Puuuff 😒😒je m'en vais à orange mtn ne vaut pas la peine 🚶🚶,1,2022-03-23 16:16:56,puuuff je men vais orange mtn ne vaut pas la peine
Smoke BOMAYE,J'aime vraiment,3,2022-03-18 18:25:25,jaime vraiment
Martin Lowoson Perez,Vous nous décevez avec vos bugs de réseau.,1,2022-03-17 22:55:45,vous nous dcevez avec vos bugs de rseau
Dhebba Moise,Use this app,5,2022-03-16 20:09:58,use this app
ghislain houenon,Je le désinstalle en même temps. Très nul,1,2022-03-12 23:57:04,je le dsinstalle en mme temps trs nul
BAHATI ONDOGA,Nice app when you're using to do your best,5,2022-03-11 19:35:24,nice app when youre using to do your best
Cléopas K.,"Impossible de me connecter pour faire mes transactions Momo normalement. Redirigé sur MTN Momo, tout aussi Nul. *Décommande l'appli",1,2022-03-08 07:22:04,impossible de me connecter pour faire mes transactions momo normalement redirig sur mtn momo tout aussi nul dcommande lappli
Ezekiel Lodza,This app well when you are using And is that am using,5,2022-03-07 18:56:03,this app well when you are using and is that am using
jeanclaude abounaewodo,Ils faut améliorer votre application ??,1,2022-03-06 13:12:09,ils faut amliorer votre application
Roukaiyatou Dadda,L'application est très bien,5,2022-03-02 18:35:41,lapplication est trs bien
Etienne Mambo,Thank you for this app,1,2022-03-02 18:00:23,thank you for this app
Josam Katabuka,Very good app,1,2022-03-02 07:10:02,very good app
Ismael Sato,"La partie Momo ne marche plus, c'est nul.",1,2022-03-01 12:21:10,la partie momo ne marche plus cest nul
mohamed SOUBEROU,"Depuis que je viens de faire la mise à jour mon compte momo ne s'ouvre plus, c'est ma sérieux",1,2022-02-28 22:16:45,depuis que je viens de faire la mise jour mon compte momo ne souvre plus cest ma srieux
koyine ka,"C'est une honte pour MTN, la quasi-totalité des APPLIS & SERVICES MTN ne fonctionne plus, si vous ne pouvez plus vous adaptés alors vendez l'entreprise à des gens qui ont la capacité de fournir a ces clients des services qui fonctionne",1,2022-02-28 21:01:58,cest une honte pour mtn la quasitotalit des applis services mtn ne fonctionne plus si vous ne pouvez plus vous adapts alors vendez lentreprise des gens qui ont la capacit de fournir a ces clients des services qui fonctionne
Jean-Baptiste GBEDO,C'est déplorable. Désormais il faudra passer par une autre application pour gérer son momo et impossible si tu n'es pas connecté à un réseau MTN. Innovation à reculons,1,2022-02-27 22:01:33,cest dplorable dsormais il faudra passer par une autre application pour grer son momo et impossible si tu nes pas connect un rseau mtn innovation reculons
Hen ri,L'application était bonne mais là depuis 1 mois ça ne marche plus,1,2022-02-23 15:46:40,lapplication tait bonne mais l depuis mois a ne marche plus
NTCHOING EMMANUEL,"J'ai aimé c'est une bonne application formidable, qui résout nos difficultés et plus rapidement.",5,2022-02-23 09:07:57,jai aim cest une bonne application formidable qui rsout nos difficults et plus rapidement
Alex Gildas SOSSOU,Depuis un moment quand je veux faire une opération ça me demande de télécharger une autre application. Corrigé celà svp. Sinon très bonne application,3,2022-02-22 15:57:18,depuis un moment quand je veux faire une opration a me demande de tlcharger une autre application corrig cel svp sinon trs bonne application
Norbert Ayayi,L'application est au top. Si nous pouvons avoir plus sur nos relevés,3,2022-02-21 08:11:06,lapplication est au top si nous pouvons avoir plus sur nos relevs
Luc Leon,Gaspillage de forfait lapplication est vraiment nul,1,2022-02-20 17:21:13,gaspillage de forfait lapplication est vraiment nul
Eric Kandji,Difficile de se connecter c'est de la desolation,3,2022-02-20 16:55:23,difficile de se connecter cest de la desolation
Gnon Seko Daran,Il faut forcément un forfait internet sur MTN pour pouvoir accéder à mobile money c'est très très très nul,1,2022-02-20 14:58:42,il faut forcment un forfait internet sur mtn pour pouvoir accder mobile money cest trs trs trs nul
dudden poirot,Votre application ne fonctionne plus ni celle dont vous nous rédigez sur après avoir allé sur playstore,1,2022-02-20 14:11:11,votre application ne fonctionne plus ni celle dont vous nous rdigez sur aprs avoir all sur playstore
Penn brandon Mbuh,Un bon moyen bien excellent,2,2022-02-19 21:02:35,un bon moyen bien excellent
EL - BERACA,J'utilise l'application chaque et je suis satisfait mais depuis hier j'ai constaté que pour faire une opération dans mobile money elle me renvoie dans play store pour télécharger une autre application MTN Momo qui ne fonctionne pas. Cette mise à jour a dégradé l'application. Elle n'a plus sa valeur,1,2022-02-19 12:13:48,jutilise lapplication chaque et je suis satisfait mais depuis hier jai constat que pour faire une opration dans mobile money elle me renvoie dans play store pour tlcharger une autre application mtn momo qui ne fonctionne pas cette mise jour a dgrad lapplication elle na plus sa valeur
Vanic Tchoulla Lacmene,Toutes vos applications ne fonctionnent pas dans mon téléphone que ce soit myMtn ayoba ou MTN Momo,1,2022-02-17 03:32:24,toutes vos applications ne fonctionnent pas dans mon tlphone que ce soit mymtn ayoba ou mtn momo
Filon Morel,C'est le meilleur,5,2022-02-13 13:47:18,cest le meilleur
Messamba Kone,ça bloque sur mon téléphone,1,2022-02-12 10:34:57,a bloque sur mon tlphone
wizson official,J'aime trop cet appli,5,2022-02-11 19:33:28,jaime trop cet appli
Chan Toumi,Très pratique et surtout les 1 giga qu'on donne lorsque tu te connectes,4,2022-02-10 11:33:48,trs pratique et surtout les giga quon donne lorsque tu te connectes
Moriel Deussom,Super cette app je vous conseille ça🤗🤗,5,2022-02-09 16:43:34,super cette app je vous conseille a
Timothée Rhim,Vraiment chouette,5,2022-02-03 15:34:49,vraiment chouette
Paul Felix Essama Ayissi,J'arrive pas à avoir accès à mon compte,1,2022-02-03 08:41:19,jarrive pas avoir accs mon compte
Lucien Akodinsi,"Appk nul, je n'arrive même à m'inscrire. L'authentication ne marche jamais. C'est toujours échec, jusqu'à ce j'ai fais la mise à jour et les mêmes scènes se répètent",1,2022-01-29 12:00:35,appk nul je narrive mme minscrire lauthentication ne marche jamais cest toujours chec jusqu ce jai fais la mise jour et les mmes scnes se rptent
Cheou Alao,Bonne application. J'adore sa simplicité,5,2022-01-28 10:20:55,bonne application jadore sa simplicit
Dylane Zekeng,"L'application est assez top, mais ne peut être utilisée que si on possède un forfait internet ce qui n'est pas cool vu que ces services sont supposés être gratuits. Chez le concurrent il suffit juste d'activer les données mobile pour y avoir accès pas besoin de forfait internet. Merci de revoir cela encore please 🙏",3,2022-01-27 13:08:10,lapplication est assez top mais ne peut tre utilise que si on possde un forfait internet ce qui nest pas cool vu que ces services sont supposs tre gratuits chez le concurrent il suffit juste dactiver les donnes mobile pour y avoir accs pas besoin de forfait internet merci de revoir cela encore please
Fiacre BOSSA,Très urgente application,5,2022-01-24 21:57:53,trs urgente application
Donald Laurier Ngandjui,Plutot cool,5,2022-01-21 12:49:19,plutot cool
Moubarak Abimbola,Juste pour espérer un bon service,4,2022-01-21 02:12:15,juste pour esprer un bon service
Lys Kouetcha,J'arrive pas à ouvrir l'appli soit disant qu'il faut télécharger une autre qui n'existe mm pas. L'arnaque 🤦🏽‍♀️ s'il y avait un moyen de mettre aucune étoile je l'aurais fais,1,2022-01-18 14:30:06,jarrive pas ouvrir lappli soit disant quil faut tlcharger une autre qui nexiste mm pas larnaque sil y avait un moyen de mettre aucune toile je laurais fais
Liliane SM,Avant j'utilisais bien cet appli. Aujourd'hui quand j'installe on me dit qu'une version à jour de l'appli est disponible et lorsque je souhaite faire la mise à jour. Impossible car la nouvelle version est pas disponible. Sans compter que l'appli sur mon téléphone ne s'affiche plus correctement.,1,2022-01-17 23:37:09,avant jutilisais bien cet appli aujourdhui quand jinstalle on me dit quune version jour de lappli est disponible et lorsque je souhaite faire la mise jour impossible car la nouvelle version est pas disponible sans compter que lappli sur mon tlphone ne saffiche plus correctement
Ulrich Kevin Nkoue,Ces passable,5,2022-01-15 19:26:18,ces passable
Franc Enselme Ngueda,je la trouve exceptionnel à mon avis.,4,2022-01-15 13:45:08,je la trouve exceptionnel mon avis
Mirabeau OUAFO,Très fluide cette nouvelle version et surtout fonctionne même sans méga pour les transactions🤩👌,4,2022-01-15 10:46:30,trs fluide cette nouvelle version et surtout fonctionne mme sans mga pour les transactions
Emmanuel franck Atangana,Vraiment satisfaction total! J'apprécie l'innovation MTN. Merci avançons toujours pour un rendement plus fiable. Merci mille fois pour tous.,5,2022-01-15 00:02:58,vraiment satisfaction total japprcie linnovation mtn merci avanons toujours pour un rendement plus fiable merci mille fois pour tous
Colombe GNONLONFOUN,"Bonsoir MTN J'ai passé une commande d'un routeur depuis ce midi et je n'ai toujours pas encore reçu le routeur. Les frais liées à cette commande m'ont pourtant été prélevées. Je n'ai pas non été contacté sur les raisons de cette non livraison et le délai d'attente supplémentaires. Ceci est, vous le conviendrez avec moi, faire preuve de manque de professionnalisme J'espère être livrée à temps demain . Merci",1,2022-01-11 20:48:54,bonsoir mtn jai pass une commande dun routeur depuis ce midi et je nai toujours pas encore reu le routeur les frais lies cette commande mont pourtant t prleves je nai pas non t contact sur les raisons de cette non livraison et le dlai dattente supplmentaires ceci est vous le conviendrez avec moi faire preuve de manque de professionnalisme jespre tre livre temps demain merci
Franky ndongo,C'est une application de guerrier c'est la magie,4,2022-01-10 21:29:05,cest une application de guerrier cest la magie
MBA BA,Pourri je vous déconseille,1,2022-01-10 20:18:25,pourri je vous dconseille
Junior M. Affouda (Le TIGRE),Très génial et utile,5,2022-01-08 19:02:12,trs gnial et utile
Yann Daniel Kapson,Fantastique,5,2022-01-08 15:46:53,fantastique
Vital Degnide,"Pratique l'application, nous louons vos efforts. Mais elle reste à améliorer. Par exemple il n'est pas possible de balancer d'un numéro à un autre pour ceux qui ont un portable double sim (2 sim MTN). Prière revoir comment permette de balancer entre sim. Merci.",3,2022-01-07 10:35:42,pratique lapplication nous louons vos efforts mais elle reste amliorer par exemple il nest pas possible de balancer dun numro un autre pour ceux qui ont un portable double sim sim mtn prire revoir comment permette de balancer entre sim merci
Romaric fotso,Cool cette app,5,2022-01-06 13:30:47,cool cette app
Kossin setodjo sodjinin Akam N'dedji,J'apprécie l'application my MTN,5,2022-01-05 00:52:15,japprcie lapplication my mtn
NEW FULL MOVIE,Très simple à utiliser,5,2022-01-03 12:56:20,trs simple utiliser
Baron Ngah,Bien cette application et en plus on a 1Go apres création du compte,5,2021-12-30 00:37:07,bien cette application et en plus on a go apres cration du compte
Betty Garand,Je t'aime j'aime l'application,4,2021-12-29 12:26:07,je taime jaime lapplication
Mengue Armel,Votre truc ne marche pas ca ne s'ouvre pas c'est du faux,1,2021-12-27 12:04:29,votre truc ne marche pas ca ne souvre pas cest du faux
DESIGN METALLIQUE CONSTRUCTION,Cette application ne fonctionne jamais,1,2021-12-27 11:58:37,cette application ne fonctionne jamais
Julo's Vie longue,C'EST une application Utile,3,2021-12-26 01:07:46,cest une application utile
Moubarak MAMA GAOU,Très bon et facilite la transaction,3,2021-12-25 19:29:30,trs bon et facilite la transaction
Christophe kokou Avodagbe,"Le plus ,mieux et rapide service",5,2021-12-24 19:30:20,le plus mieux et rapide service
a brice j bahoungbotche,"Très pratique, sécurisée et sans frais !",5,2021-12-23 23:30:22,trs pratique scurise et sans frais
Ben Ali,My mtn hum ce la vie,5,2021-12-23 23:12:25,my mtn hum ce la vie
Dieudonné Mwesswa,It wonderful,5,2021-12-18 19:26:48,it wonderful
Danielle Nga,Très bèlle app Et merci,5,2021-12-17 23:37:03,trs blle app et merci
Mama Hadja,J'aime bien quand tu veux ou tu veux ce fasil est pratiqu,2,2021-12-16 22:29:44,jaime bien quand tu veux ou tu veux ce fasil est pratiqu
Lucien Pedro,"Satisfait, merci beaucoup",5,2021-12-15 12:09:47,satisfait merci beaucoup
agema benin,Superbe application,5,2021-12-15 11:36:56,superbe application
Marc Ali,Facile à utiliser,4,2021-12-10 19:39:13,facile utiliser
Bello Sanda,Merci my mtn,5,2021-12-06 15:04:08,merci my mtn
Ovah Golden,C'EST bête ca ne donne pas mais je m'ai 5 étoiles,5,2021-12-06 11:28:18,cest bte ca ne donne pas mais je mai toiles
BENOIT OLIVIER AGBATO,Salut.. Gratuite vous dites sans connexion internet? Renvoyez bien les paramètres de votre version lite,1,2021-12-01 22:26:21,salut gratuite vous dites sans connexion internet renvoyez bien les paramtres de votre version lite
Lefa Fall,Je confirme deja,5,2021-12-01 20:20:17,je confirme deja
Mounirou Mouhamed,Très bon application,5,2021-11-24 20:53:08,trs bon application
Raïhanath Timité,Pfff très nulle,1,2021-11-24 08:51:20,pfff trs nulle
Djone Sylla,C'EST un bon apk,5,2021-11-24 00:16:13,cest un bon apk
Ben Zacky,Vous me faites un sms comme quoi j'ais reçu 1go alors que c'est faux!,2,2021-11-22 20:27:38,vous me faites un sms comme quoi jais reu go alors que cest faux
2D Elle criminel,Je suis très content,5,2021-11-22 19:44:59,je suis trs content
Bekwike Nixon Esandua,aucune innovation ! On ne peut faire aucune transaction financière avec cette application. Elle manque beaucoup de choses MTN. Difficile de consulter mon compte Momo. vos plan tarifaire sont limités... vraiment 🤦🤦,1,2021-11-18 23:24:51,aucune innovation on ne peut faire aucune transaction financire avec cette application elle manque beaucoup de choses mtn difficile de consulter mon compte momo vos plan tarifaire sont limits vraiment
Prince Sanoussi,"Actuellement je pense que c'est une très bonne application, facile pour le transfert d'argent",5,2021-11-18 20:33:02,actuellement je pense que cest une trs bonne application facile pour le transfert dargent
Lâms Nôchë,L'appli est Simple et efficace 😊,5,2021-11-18 14:12:21,lappli est simple et efficace
Kaskile Scoty,Une bonne application,5,2021-11-18 13:17:35,une bonne application
Neslandsage Oyandza,Difficile à télecharger,1,2021-11-15 09:12:18,difficile tlecharger
new video,La dernière mise a jour ne me plaît pas (3.0.3) parceque je ne peux pas supprimer les données utilisateur,1,2021-11-14 19:17:24,la dernire mise a jour ne me plat pas parceque je ne peux pas supprimer les donnes utilisateur
ménélas abidjo,"L'application est un bon début et reste perfectible. Le relevé de transaction pourrait être disponible sur la période que l'on souhaite et doit pouvoir être téléchargé au format pdf. Mais au lieu de ça, on voit juste des opérations de débit et de crédit entre des numéros (les identités ne s'affichent pas), de plus les relevés ne retracent pas les transactions à l'international.",3,2021-11-12 22:48:03,lapplication est un bon dbut et reste perfectible le relev de transaction pourrait tre disponible sur la priode que lon souhaite et doit pouvoir tre tlcharg au format pdf mais au lieu de a on voit juste des oprations de dbit et de crdit entre des numros les identits ne saffichent pas de plus les relevs ne retracent pas les transactions linternational
Kouakou mickael n'goran,"Enfaite j'ai une puce mtn mais le code puk es bloqué ,j'ai besoin de votre aide",4,2021-11-12 21:45:55,enfaite jai une puce mtn mais le code puk es bloqu jai besoin de votre aide
Gae tan,🤢🤮 ces deux emojy illustre bien mon expérience avec cette application le truc qui est bien c'est le bouton désinstaller,1,2021-11-10 11:49:47,ces deux emojy illustre bien mon exprience avec cette application le truc qui est bien cest le bouton dsinstaller
Tchouala Junior,Très belle application avec ça on n'a plus besoin de taper les codes,5,2021-11-09 21:37:27,trs belle application avec a on na plus besoin de taper les codes
Kanish Ouadika,Kanish Le Soldat Têtu Øfficiel,5,2021-11-08 21:42:08,kanish le soldat ttu fficiel
Abass Bachir,MyMtn est cool avec ses avantages. Essayez et vous verrez,5,2021-11-08 16:58:26,mymtn est cool avec ses avantages essayez et vous verrez
Kid Goku2,Bonne mise a jour simple et facile d'utilisation Pensez a inclure un theme sombre la prochaine fois,5,2021-11-08 10:18:28,bonne mise a jour simple et facile dutilisation pensez a inclure un theme sombre la prochaine fois
Lansana Fassou Haba,Trop nulle depuis la mise à jour...à ne pas installer...😡😡😡,1,2021-11-07 16:33:51,trop nulle depuis la mise jour ne pas installer
DIEUDONNE MATENDA,"Very nice, i love it so much",5,2021-11-06 19:22:14,very nice i love it so much
Ayité Edoh Bienvenue Follyvi,L'amélioration n'est pas totalement faite Revérifiez le système.,3,2021-11-05 07:50:51,lamlioration nest pas totalement faite revrifiez le systme
BOBBO Daniel Bertrand,"Cette mise à jour gâté TOUT. Plus rien ne marche, mieux vaut l'ancienne version, je désinstalle.",1,2021-11-04 19:46:22,cette mise jour gt tout plus rien ne marche mieux vaut lancienne version je dsinstalle
Jijoho Dieudonné GOHOUN,"Une très belle application. Mais assez d'insuffisance pour des raisons ci-après : Quand nous consultons le mini relevé, tous les numéros ne s'affichent pas. Surtout les opérations entre abonné et marchand, les numéros ne s'affichent pas. Après paiement, le numéro du receveur ne s'affiche pas, Dépôt entre abonnés aussi",3,2021-10-29 16:28:55,une trs belle application mais assez dinsuffisance pour des raisons ciaprs quand nous consultons le mini relev tous les numros ne saffichent pas surtout les oprations entre abonn et marchand les numros ne saffichent pas aprs paiement le numro du receveur ne saffiche pas dpt entre abonns aussi
M.H.D kaffah,"FC. Kaffah ont demandé de diminuer la facture de internet , est gratuit pour appeler vers la service.",5,2021-10-25 21:36:42,fc kaffah ont demand de diminuer la facture de internet est gratuit pour appeler vers la service
Peres Pamefa,Très cool et pratique,5,2021-10-24 11:30:50,trs cool et pratique
Jonas MEDIN,MTN est trop bon car il a facilité la tâche aux rangs à la banque,5,2021-10-22 12:51:38,mtn est trop bon car il a facilit la tche aux rangs la banque
Franck Clovis Marst KOFFI,Très novateur,5,2021-10-18 12:18:36,trs novateur
Aboubacar Soumah,Comment ouvrir le compte ? Parce que je n'arrive pas,2,2021-10-16 00:26:29,comment ouvrir le compte parce que je narrive pas
S. Belgas ADOHO,Très bonne application. Très pratique. Mais il n'y a pas tous les services Momo..,4,2021-10-14 17:44:43,trs bonne application trs pratique mais il ny a pas tous les services momo
Un utilisateur de Google,Pourquoi toujours être connecté pour l'utiliser ?????????,1,2021-10-14 16:51:02,pourquoi toujours tre connect pour lutiliser
Léa Ntone,Super j'ai la possibilité de souscrire à mes forfaits MTN et ça m'offre plus de bonus,5,2021-10-09 18:37:03,super jai la possibilit de souscrire mes forfaits mtn et a moffre plus de bonus
bembe diallo,"Cette application est nul, elle ne sert à rien. J'ai tenté plusieurs fois de me connecter, mais impossible.",1,2021-10-09 10:16:56,cette application est nul elle ne sert rien jai tent plusieurs fois de me connecter mais impossible
Patrick Tafokock,La connexion s'est améliorée,4,2021-10-08 13:42:00,la connexion sest amliore
Paul Detonde,"Vraiment cette application ma causée d'énormes problèmes : Une fois planifier la transaction d'argent, je n'ai plus la possibilité d'annuler et jusqu'aujourd'hui ca continue d'envoyer l'argent sans mon autorisation.",1,2021-10-07 18:30:02,vraiment cette application ma cause dnormes problmes une fois planifier la transaction dargent je nai plus la possibilit dannuler et jusquaujourdhui ca continue denvoyer largent sans mon autorisation
Nelson 237,salut très bonne idée mais quelques suggestions pour améliorer l'application. - Possibilité de vérifier son solde internet une fois dans l'application - Possibilité de vérifier les soldes du compte principal et autres comptes promo par exemple - Possibilité de souscrire à un forfait depuis l'application C'était avant la mise à jour. Je pense que c'est ok maintenant. Merci.,3,2021-10-04 07:12:04,salut trs bonne ide mais quelques suggestions pour amliorer lapplication possibilit de vrifier son solde internet une fois dans lapplication possibilit de vrifier les soldes du compte principal et autres comptes promo par exemple possibilit de souscrire un forfait depuis lapplication ctait avant la mise jour je pense que cest ok maintenant merci
bismarck king,"Faible control de crédit internet, juste un aperçu du compte principal.👎 Mais facile a exécuté les procédures de transféré momo et de transfert et recharge de crédit et forfait.👍",2,2021-09-27 00:42:57,faible control de crdit internet juste un aperu du compte principal mais facile a excut les procdures de transfr momo et de transfert et recharge de crdit et forfait
Hermine Epanda,"Il n'y a pas d'historique que ce soit pour les appels,les SMS, internet",1,2021-09-25 17:15:21,il ny a pas dhistorique que ce soit pour les appelsles sms internet
Biskomta Mayiba,très bon service client,5,2021-09-23 18:42:43,trs bon service client
WM H,Ce software n'est pas à la hauteur des services fournis par MTN. Suivez l'exemple d'orange qui a fait une refonte complète de son application pour passer à un niveau supérieur pour l'utilisation de son application.,2,2021-09-23 11:34:47,ce software nest pas la hauteur des services fournis par mtn suivez lexemple dorange qui a fait une refonte complte de son application pour passer un niveau suprieur pour lutilisation de son application
Mounchadini Loukoumanou,Tres bonne app merci pour ca,5,2021-09-21 22:45:31,tres bonne app merci pour ca
