username,review,rating,date
BOBBO Daniel Bertrand,"Cette mise à jour gâté TOUT. Plus rien ne marche, mieux vaut l'ancienne version, je désinstalle.",1,2021-11-04 19:46:22
Jijoho Dieudonné GOHOUN,"Une très belle application. Mais assez d'insuffisance pour des raisons ci-après : Quand nous consultons le mini relevé, tous les numéros ne s'affichent pas. Surtout les opérations entre abonné et marchand, les numéros ne s'affichent pas. Après paiement, le numéro du receveur ne s'affiche pas, Dépôt entre abonnés aussi",3,2021-10-29 16:28:55
M.H.D kaffah,"FC. Kaffah ont demandé de diminuer la facture de internet , est gratuit pour appeler vers la service.",5,2021-10-25 21:36:42
Bertrand Tento Dongkeu,Excellent,5,2021-10-24 21:22:34
JELF NGUIMDO KENFACK,Super👌,5,2021-10-24 11:35:05
Peres Pamefa,Très cool et pratique,5,2021-10-24 11:30:50
Jonas MEDIN,MTN est trop bon car il a facilité la tâche aux rangs à la banque,5,2021-10-22 12:51:38
Franck Clovis Marst KOFFI,Très novateur,5,2021-10-18 12:18:36
Moussa Koné,J'aime,5,2021-10-17 11:19:45
Aboubacar Soumah,Comment ouvrir le compte ? Parce que je n'arrive pas,2,2021-10-16 00:26:29
S. Belgas ADOHO,Très bonne application. Très pratique. Mais il n'y a pas tous les services Momo..,4,2021-10-14 17:44:43
Un utilisateur de Google,Pourquoi toujours être connecté pour l'utiliser ?????????,1,2021-10-14 16:51:02
Léa Ntone,Super j'ai la possibilité de souscrire à mes forfaits MTN et ça m'offre plus de bonus,5,2021-10-09 18:37:03
bembe diallo,"Cette application est nul, elle ne sert à rien. J'ai tenté plusieurs fois de me connecter, mais impossible.",1,2021-10-09 10:16:56
Patrick Tafokock,La connexion s'est améliorée,4,2021-10-08 13:42:00
Paul Detonde,"Vraiment cette application ma causée d'énormes problèmes : Une fois planifier la transaction d'argent, je n'ai plus la possibilité d'annuler et jusqu'aujourd'hui ca continue d'envoyer l'argent sans mon autorisation.",1,2021-10-07 18:30:02
guy tchami,Génial,5,2021-10-05 02:01:50
Adika Faïssolath AYINDE,C'est bon ...,3,2021-10-04 14:04:28
Nelson 237,salut très bonne idée mais quelques suggestions pour améliorer l'application. - Possibilité de vérifier son solde internet une fois dans l'application - Possibilité de vérifier les soldes du compte principal et autres comptes promo par exemple - Possibilité de souscrire à un forfait depuis l'application C'était avant la mise à jour. Je pense que c'est ok maintenant. Merci.,3,2021-10-04 07:12:04
Florence Awoula,C bien,5,2021-09-29 22:48:28
bismarck king,"Faible control de crédit internet, juste un aperçu du compte principal.👎 Mais facile a exécuté les procédures de transféré momo et de transfert et recharge de crédit et forfait.👍",2,2021-09-27 00:42:57
Hermine Epanda,"Il n'y a pas d'historique que ce soit pour les appels,les SMS, internet",1,2021-09-25 17:15:21
Biskomta Mayiba,très bon service client,5,2021-09-23 18:42:43
WM H,Ce software n'est pas à la hauteur des services fournis par MTN. Suivez l'exemple d'orange qui a fait une refonte complète de son application pour passer à un niveau supérieur pour l'utilisation de son application.,2,2021-09-23 11:34:47
Abdourahamane Ibrahim,Cool 👌,4,2021-09-22 01:11:20
Mounchadini Loukoumanou,Tres bonne app merci pour ca,5,2021-09-21 22:45:31
